0,1,2,3
15,15,14,16
15,12,18,15
13,16,14,17
17,8,25,10
16,13,13,18
14,14,16,16
13,16,15,16
18,13,11,18
23,17,11,9
13,14,15,18
19,9,20,12
18,13,18,11
12,12,18,18
22,13,9,16
17,11,20,12
20,13,13,14
19,15,12,14
17,7,14,22
23,7,8,22
20,11,14,15
21,17,9,13
21,12,11,16
17,15,18,10
13,15,17,15
17,13,11,19
21,15,8,16
16,16,11,17
19,13,13,15
14,16,19,11
25,12,15,8
21,10,11,18
18,13,17,12
11,13,20,16
16,10,15,19
20,15,13,12
23,13,10,14
11,22,12,15
16,15,15,14
15,16,16,13
16,17,11,16
25,17,8,10
20,12,12,16
17,11,15,17
17,14,13,16
20,11,13,16
17,13,13,17
22,14,16,8
14,13,15,18
22,11,15,12
13,19,9,19
17,16,11,16
17,18,10,15
14,15,14,17
18,23,10,9
18,15,12,15
15,13,15,17
17,11,15,17
18,10,15,17
22,15,12,11
15,15,11,19
17,12,13,18
16,15,7,22
21,15,8,16
15,13,10,22
23,8,16,13
20,17,11,12
18,17,10,15
22,16,11,11
21,16,9,14
26,13,8,13
23,14,12,11
14,13,17,16
19,16,15,10
17,17,9,17
18,18,10,14
17,8,15,20
17,14,13,16
12,22,13,13
20,10,11,19
15,16,11,18
19,15,14,12
14,13,20,13
27,8,11,14
19,14,14,13
16,12,15,17
19,10,13,18
19,17,9,15
18,18,11,13
11,19,17,13
24,8,11,17
15,11,12,22
18,18,11,13
20,16,8,16
20,11,17,12
16,13,12,19
15,17,9,19
13,20,13,14
23,13,9,15
24,18,10,8
16,14,9,21
21,13,7,19
25,13,12,10
18,20,10,12
18,12,18,12
14,19,17,10
17,16,10,17
27,10,7,16
20,13,14,13
20,12,11,17
21,13,13,13
12,14,15,19
18,21,9,12
20,17,11,12
18,15,12,15
18,16,15,11
17,13,14,16
22,14,10,14
20,14,13,13
8,18,14,20
14,22,10,14
13,16,12,19
13,21,13,13
16,17,10,17
14,16,11,19
20,18,8,14
26,17,10,7
10,16,17,17
16,20,8,16
6,15,16,23
15,14,16,15
14,17,15,14
17,13,13,17
19,17,14,10
17,20,10,13
22,18,11,9
21,18,6,15
12,14,15,19
14,14,19,13
21,17,12,10
14,19,14,13
21,12,15,12
11,18,15,16
18,15,10,17
21,18,12,9
20,24,10,6
10,16,13,21
20,18,8,14
13,13,18,16
16,17,8,19
19,19,8,14
21,19,6,14
23,14,11,12
10,19,13,18
21,14,9,16
16,24,10,10
17,19,11,13
12,26,9,13
13,21,12,14
14,20,12,14
17,17,9,17
15,17,16,12
11,14,13,22
18,22,11,9
23,18,7,12
17,16,11,16
16,12,14,18
22,12,11,15
17,22,7,14
12,24,10,14
20,14,13,13
21,15,9,15
25,15,8,12
15,20,13,12
10,27,8,15
16,15,12,17
18,13,19,10
15,21,10,14
11,18,14,17
16,25,9,10
16,17,14,13
17,20,8,15
9,19,12,20
11,21,13,15
13,25,10,12
7,14,21,18
12,24,13,11
11,22,13,14
18,17,11,14
14,14,14,18
17,19,11,13
7,14,20,19
19,17,15,9
11,22,16,11
9,18,13,20
11,18,14,17
13,12,17,18
9,17,17,17
13,18,7,22
8,25,15,12
15,19,15,11
7,17,20,16
11,23,11,15
14,13,18,15
14,24,12,10
11,18,19,12
13,18,21,8
17,17,16,10
13,18,15,14
11,20,17,12
9,20,13,18
11,25,10,14
13,19,11,17
14,14,13,19
12,11,16,21
13,9,21,17
18,14,11,17
5,24,18,13
7,17,14,22
13,19,15,13
14,22,17,7
10,14,16,20
5,26,19,10
10,16,23,11
10,22,15,13
9,19,16,16
7,19,13,21
10,17,18,15
16,16,16,12
11,14,16,19
16,12,14,18
12,11,15,22
5,20,16,19
13,15,14,18
13,11,19,17
10,10,20,20
8,18,21,13
10,14,16,20
12,21,13,14
8,25,16,11
14,15,20,11
10,23,20,7
7,12,21,20
13,20,13,14
11,19,19,11
7,21,20,12
13,14,18,15
15,15,16,14
11,15,19,15
11,17,19,13
12,15,17,16
12,18,12,18
11,17,23,9
